"id";"session_id";"item";"engagement_with";"engagement_without";"information_with";"information_without";"date";"id";"imagetype";"date";"ip"
100;35;3;-1;-1;-1;-1;"2016-06-27 21:29:01";35;"video";"2016-06-27 21:27:10";"145.15.244.119"
101;36;2;0;0;1;-1;"2016-06-27 21:36:11";36;"video";"2016-06-27 21:27:32";"88.7.180.116"
105;36;3;-1;0;1;-2;"2016-06-27 21:36:52";36;"video";"2016-06-27 21:27:32";"88.7.180.116"
108;39;1;-1;-1;-1;1;"2016-06-27 22:01:30";39;"video";"2016-06-27 22:01:05";"91.10.59.199"
110;39;2;0;-2;2;-1;"2016-06-27 22:02:39";39;"video";"2016-06-27 22:01:05";"91.10.59.199"
111;39;3;1;-1;2;-1;"2016-06-27 22:03:27";39;"video";"2016-06-27 22:01:05";"91.10.59.199"
115;41;1;2;1;2;2;"2016-06-28 04:27:07";41;"video";"2016-06-28 04:26:42";"86.95.115.162"
116;41;2;1;0;2;2;"2016-06-28 04:27:29";41;"video";"2016-06-28 04:26:42";"86.95.115.162"
117;41;3;2;1;2;2;"2016-06-28 04:27:51";41;"video";"2016-06-28 04:26:42";"86.95.115.162"
121;43;1;1;-1;-1;-1;"2016-06-28 08:08:30";43;"video";"2016-06-28 08:08:05";"83.84.19.4"
122;43;2;-1;-1;1;-1;"2016-06-28 08:08:59";43;"video";"2016-06-28 08:08:05";"83.84.19.4"
123;43;3;1;-1;1;1;"2016-06-28 08:09:44";43;"video";"2016-06-28 08:08:05";"83.84.19.4"
128;46;1;NULL;1;NULL;1;"2016-06-30 11:10:40";46;"video";"2016-06-30 11:10:40";"94.112.1.215"
130;48;1;1;1;0;0;"2016-07-01 10:30:39";48;"video";"2016-07-01 10:29:20";"90.128.223.11"
